Entity,Code,Year,region,Total_Meat_kg_per_capita,"Meat, poultry | 00002734 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, beef and buffalo | 00002731 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, sheep and goat | 00002732 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, pig | 00002733 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, Other | 00002735 || Food available for consumption | 0645pc || kilograms per year per capita"
Malta,MLT,2022,Europe,66.03672802,24.24376,17.892519,0.83808076,22.40604,0.65632826
Maldives,MDV,2022,Asia,38.909419490000005,21.788475,13.822689,1.7690643,0.82956123,0.69962996
Croatia,HRV,2022,Europe,97.14363279999999,20.15702,14.916608,1.7846287,59.20222,1.0831561
Malaysia,MYS,2022,Asia,69.25479525,51.90197,8.71554,1.3498815,7.277622,0.00978175
Macao,MAC,2022,Asia,111.6719101,48.966267,12.436504,0.5626038,48.26548,1.4410553
Cyprus,CYP,2022,Asia,71.75280268000002,27.345592,7.7082796,3.891741,32.337173,0.47001708
Luxembourg,LUX,2022,Europe,85.32334759999999,19.66789,30.46342,1.0805444,32.88225,1.2292432
Lithuania,LTU,2022,Europe,79.45926553,25.92018,4.930204,0.37098563,47.700943,0.5369529
Czechia,CZE,2022,Europe,81.65577169,23.469276,10.599028,0.28513154,46.48627,0.81606615
Lebanon,LBN,2022,Asia,38.494040513,22.524939,13.780637,1.2710296,0.9078783,0.009556613
Latvia,LVA,2022,Europe,82.3094456,28.817162,5.5883055,0.35418838,47.293987,0.25580272
Laos,LAO,2022,Asia,29.833191189999997,6.3152733,9.164119,0.39843994,13.646568,0.30879095
Yemen,YEM,2022,Asia,14.140595632,7.9871445,2.0188255,4.0464673,0.008815832,0.0793425
